player,team,pos,age,salary,netrtg,astpct,rebpct,ts,usg,followers,tov,ftar,vorp,ortg,drtg,orebpct,drebpct,efg,pts,twitter,bpm,ws
Enes Kanter,OKC,C,25,17.15,-0.1,0.078,0.179,0.599,0.275,0.489,0.125,0.387,1.4,107.8,107.9,0.147,0.21,0.549,14.3,1,1.7,5.8
John Wall,WAS,PG,26,16.96,3.9,0.45,0.064,0.541,0.302,1.81,0.162,0.367,4.8,111.2,107.3,0.023,0.105,0.482,23.1,1,4.7,8.8
Blake Griffin,LAC,PF,28,20,10.6,0.235,0.137,0.569,0.278,4.19,0.109,0.434,3.5,115.2,104.6,0.064,0.204,0.513,21.6,1,4.7,7.7
Zach Randolph,MEM,PF,35,10.36,-1.1,0.131,0.193,0.49,0.285,0.192,0.086,0.2,0.7,104.1,105.2,0.113,0.28,0.46,14.1,1,-0.5,3.2
Dwight Howard,ATL,C,31,23.18,-2,0.076,0.234,0.627,0.191,6.97,0.175,0.692,1.9,101.1,103.1,0.153,0.31,0.633,13.5,1,1.4,8.3
Stephen Curry,GSW,PG,29,12.11,17.2,0.287,0.073,0.624,0.292,9.56,0.13,0.251,5.9,118.1,100.9,0.027,0.113,0.58,25.3,1,6.9,12.6
Marc Gasol,MEM,C,32,19.69,1.4,0.246,0.106,0.554,0.267,1.1,0.113,0.286,4.6,106.5,105.1,0.027,0.19,0.503,19.5,1,5.2,7.7
DeAndre Jordan,LAC,C,28,21.17,9.7,0.054,0.243,0.673,0.153,0.984,0.131,0.737,3.5,113.4,103.7,0.136,0.343,0.714,12.7,1,3.3,11.8
Kevin Love,CLE,PF,28,21.17,7.2,0.093,0.193,0.573,0.255,2.55,0.109,0.34,1.9,113.2,106,0.087,0.295,0.51,19,1,2.1,6.4
Kyle Lowry,TOR,PG,31,12,8.2,0.293,0.073,0.623,0.249,0.589,0.138,0.398,4.6,112.8,104.6,0.024,0.121,0.569,22.4,1,6.1,10.1
Pau Gasol,SAS,C,36,7.45,6.8,0.143,0.176,0.578,0.216,6.38,0.106,0.305,2.5,110.7,104,0.077,0.271,0.548,12.4,1,4,6.4
Nikola Vucevic,ORL,C,26,12,-3.6,0.157,0.193,0.498,0.243,0.038,0.096,0.155,1.9,102.5,106.1,0.086,0.306,0.48,14.6,1,1.4,4
Eric Bledsoe,PHX,PG,27,14,-4.1,0.309,0.08,0.563,0.28,0.199,0.153,0.443,3.1,106.1,110.2,0.025,0.139,0.485,21.1,1,3.6,5.3
Greg Monroe,MIL,C,27,17.15,3.7,0.165,0.176,0.572,0.242,0.0369,0.144,0.329,1.7,110.1,106.4,0.112,0.237,0.533,11.7,0,1.8,5.6
Edy Tavares,CLE,C,25,1,15.2,0.071,0.204,0.633,0.137,0.008,0.24,0.6,0,108.2,93,0.16,0.241,0.8,6,1,3.3,0.1
Josh Huestis,OKC,PF,25,1.14,6.4,0.115,0.153,0.612,0.146,0.013,0,0.091,0.1,111.3,104.9,0.133,0.172,0.636,7,1,8.8,0.2
Kemba Walker,CHA,PG,27,12,3.6,0.282,0.062,0.569,0.291,0.336,0.095,0.248,4.2,109,105.4,0.018,0.107,0.527,23.2,1,4.1,8.1
Andre Drummond,DET,C,23,22.11,-6.3,0.06,0.252,0.518,0.224,1.22,0.125,0.39,1.8,102.6,108.9,0.146,0.373,0.531,13.6,1,1,6.7
Jonas Valanciunas,TOR,C,25,4.66,2.5,0.043,0.21,0.601,0.195,0.162,0.117,0.309,1.2,109.6,107.2,0.124,0.297,0.558,12,1,0.3,7.9
Paul George,IND,SF,27,18.31,2.9,0.157,0.103,0.587,0.29,1.7,0.127,0.277,3.4,108.9,106,0.025,0.178,0.534,23.7,1,3.1,7.1
Kyrie Irving,CLE,PG,25,17.64,5.1,0.278,0.05,0.58,0.302,3.48,0.103,0.231,3.4,114.2,109.1,0.023,0.075,0.535,25.2,1,3.4,8.9
J.J. Barea,DAL,PG,33,4.1,1.8,0.421,0.064,0.521,0.261,0.296,0.147,0.149,0.7,104.6,102.8,0.013,0.117,0.491,10.9,1,1.5,1.3
Lou Williams,HOU,SG,30,7,-0.4,0.193,0.055,0.593,0.283,0.163,0.118,0.458,3,108.7,109,0.014,0.096,0.511,14.9,1,3.9,6.1
Al Jefferson,IND,C,32,9.56,-5.8,0.114,0.165,0.526,0.26,0,0.061,0.18,0.1,102.3,108.1,0.086,0.251,0.499,8.1,0,-1.4,2.3
Willy Hernangomez,NYK,C,23,1.35,-2.8,0.116,0.204,0.564,0.202,0.055,0.161,0.269,0.6,104.8,107.6,0.142,0.263,0.533,8.2,1,-0.3,3.4
Kyle O'Quinn,NYK,C,27,3.92,-6.8,0.149,0.193,0.552,0.186,0.024,0.145,0.201,1.2,102.1,108.9,0.138,0.25,0.523,6.3,1,1.9,3.9
Jeremy Lin,BKN,PG,28,11.48,-2.9,0.338,0.08,0.566,0.259,2.4,0.157,0.353,0.9,103.5,106.4,0.013,0.146,0.51,14.5,1,2,2.1
Jeff Teague,IND,PG,29,8,1.2,0.359,0.07,0.574,0.221,0.083,0.165,0.457,2.8,108.1,106.8,0.014,0.123,0.492,15.3,1,2.2,8.1
